商品名※必須,slug※必須,カテゴリ,サブカテゴリ,サイズ,価格※必須,ステータス,説明,並び順,画像URL,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
お肉ゴロゴロカレー,,加工食品,レトルト・保存食,,600,published,佐助豚の厚切り肉をたっぷり入れじっくり煮込んだ、食べ応えのあるカレーです,11,https://drive.google.com/file/d/1vT38sYNmjmuD8BE3dKM3GXZe9ZiKTUKv/view?usp=drive_link,佐助豚の厚切り肉をたっぷり入れじっくり煮込んだ、食べ応えのあるカレーです,オニクゴロゴロカレー,岩手県,二戸市,"小麦, 乳","牛肉, 大豆, バナナ, 豚肉, りんご",,賞味期限,730,常温,4.58224E+12,50,ｐ,1,ｐ,要相談,200ｇ,砂糖不使用/着色料不使用/こだわり製法,,３営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,レトルト・保存食,レトルトカレー,,,,,,,,,,小売・業務用,自社サイト,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
お肉ゴロゴロカレー５個入り,,加工食品,レトルト・保存食,,2400,published,佐助豚の厚切り肉をたっぷり入れじっくり煮込んだ、食べ応えのあるカレーです,12,https://drive.google.com/file/d/1Tbb3sUzdMXDBizBzI0QfGDykGjfAtSjN/view?usp=drive_link,簡易パッケージの５食入りです。まとめ買いしたい方にお奨めのお得な価格です。,オニクゴロゴロカレーゴコイリ,岩手県,二戸市,"小麦, 乳","牛肉, 大豆, バナナ, 豚肉, りんご",,賞味期限,730,常温,4.58224E+12,10,袋,1,袋,要相談,200ｇ×5ｐ,国産原料/ギフト対応/まとめ買い対応/ふるさと納税返礼品,,３営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,レトルト・保存食,レトルトカレー,,,,,,,,,,小売・業務用,,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
極粗挽きミートソース,,加工食品,レトルト・保存食,,741,published,佐助豚の超粗挽き肉と短角牛のすじ肉を煮込んだ、濃厚で芳醇な味わいのミートソースです。,13,https://drive.google.com/file/d/1zm1YpSD0dy8JBZSrUv2BfXGz0fzY77Ek/view?usp=drive_link,佐助豚の超粗挽き肉と短角牛のすじ肉を煮込んだ、濃厚で芳醇な味わいのミートソースです。,ゴクアラビキミートソース,岩手県,二戸市,"小麦, 乳","牛肉, 豚肉",,賞味期限,730,常温,4.58224E+12,40,ｐ,1,ｐ,要相談,240ｇ,国産原料/こだわり製法/ギフト対応/ふるさと納税返礼品,,5営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,レトルト・保存食,ミートソース,,,,,,,,,不可,小売・業務用,自社サイト,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
ホルモントマト煮,,加工食品,レトルト・保存食,,600,published,新鮮でおいしい佐助のホルモンを、白いんげん・完熟トマトと一緒に煮込みました。,14,https://drive.google.com/file/d/1xV3PyVqDQwLbBFPVi1MWH74-KGh7XELE/view?usp=drive_link,新鮮でおいしい佐助のホルモンを、白いんげん・完熟トマトと一緒に煮込みました。,ホルモントマトニ,岩手県,二戸市,,"牛肉, 鶏肉, 豚肉",,賞味期限,730,常温,4.58224E+12,50,ｐ,1,ｐ,要相談,200ｇ,国産原料/ギフト対応/ふるさと納税返礼品,,5営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,レトルト・保存食,ホルモントマト煮,,,,,,,,,不可,小売・業務用,自社サイト,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
佐助豚の豚骨スープ,,加工食品,レトルト・保存食,,520,published,じっくり煮込み、佐助豚の上質な脂ととろける旨味の紡ぎだした究極の味わいの豚骨ストレートスープです。,15,https://drive.google.com/file/d/1l85oaJ28qixGcg_kvtlhNmIrwWt_VmM9/view?usp=drive_link,無添加,サスケブタノトンコツスープ,岩手県,二戸市,,豚肉,,賞味期限,730,常温,4.58224E+12,20,ｐ,1,ｐ,対応不可,450ｇ,国産原料/ギフト対応/まとめ買い対応/ふるさと納税返礼品,,5営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,レトルト・保存食,豚骨スープ,,,,,,,,,不可,小売・業務用,自社サイト,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
ポン酢,,加工食品,調味料,,520,published,ゆずのさっぱりとした風味のやわらかな口当たりのポン酢です。,16,https://drive.google.com/file/d/1grqyQ71u3DzWMq-etDrDpyTx3ykUV4qH/view?usp=drive_link,ゆずのさっぱりとした風味のやわらかな口当たりのポン酢です。,ポンズ,岩手県,二戸市,小麦,"大豆, りんご",,賞味期限,365,常温,4.58224E+12,50,袋,1,袋,要相談,40ｇｘ5ｐ,国産原料/ギフト対応/まとめ買い対応/ふるさと納税返礼品,,5営業日,,5013cec3-79b4-4847-b7d6-49931ec5d10b,加工食品,調味料,ポンズ,,,,,,,,,不可,小売・業務用,自社サイト,,,,,,久慈ファーム有限会社,info@sasukebuta.co.jp,TRUE,日本,直接入力,
いわて短角牛のルーローハン,,加工食品,レトルト・保存食,,926,published,紹興酒と生姜で風味付けした旨味あふれる短角牛肉を、台湾風特製タレでコトコト煮込みました。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　八角、花椒などのスパイスに加え、隠し味の柚子で肉本来の味わいを引き出しました。,17,,・無添加(保存料・着色料 不使用)　　　　　　・希少な山形村短角牛肉を使用,イワテタンカクギュウノルーローハン,岩手県,久慈市,小麦,"いか, 牛肉, 大豆, 鶏肉",,賞味期限,730,常温,4.52619E+12,80,ｐ,50,ｐ,対応可能,160ｇ,,,5営業日,,1098ca75-d586-4ac0-b7bb-2569e4a3f27b,加工食品,レトルト・保存食,,,"・オーガニックにこだわった、ギフト商品やお土産購入者
・健康志向へのこだわりがあるご家庭",,,63,38,22,,相談可,,,通年,,,,,有限会社総合農舎山形村,office@nousya.jp,TRUE,日本,直接入力,
農舎のいわて短角牛ごはんの素,,加工食品,レトルト・保存食,,1018,published,北上高地の山の中、緑の牧場で育った短角牛の粗挽き肉をたっぷり使った炊き込みごはんの素です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　国産赤身牛を代表する「短角牛」のあふれる旨味をお楽しみください。,18,,・無添加(保存料・着色料 不使用)　　　　　　・希少な山形村短角牛肉を使用,ノウシャノイワテタンカクギュウゴハンノモト,岩手県,久慈市,小麦,"牛肉, 大豆",,賞味期限,730,常温,4.52619E+12,80,ｐ,50,ｐ,対応可能,210ｇ,国産原料,,5営業日,,1098ca75-d586-4ac0-b7bb-2569e4a3f27b,加工食品,レトルト・保存食,,,"・オーガニックにこだわった、ギフト商品やお土産購入者
・健康志向へのこだわりがあるご家庭",,,63,38,22,,相談可,,,通年,,,,,有限会社総合農舎山形村,office@nousya.jp,TRUE,日本,直接入力,
農舎のホタテごはんの素,,加工食品,レトルト・保存食,,1018,published,"北の海で育ったホタテを贅沢に加え、その美味しさをあますことなく引き出した炊き込みごはんの素です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
爽やかな潮風を食卓にどうぞ。",19,,・無添加(保存料・着色料 不使用)　　　　　,ノウシャノホタテゴハンノモト,岩手県,久慈市,小麦,大豆,,賞味期限,730,常温,4.52619E+12,80,ｐ,50,ｐ,対応可能,190ｇ,国産原料/ギフト対応,,5営業日,,1098ca75-d586-4ac0-b7bb-2569e4a3f27b,加工食品,レトルト・保存食,,,"・オーガニックにこだわった、ギフト商品やお土産購入者
・健康志向へのこだわりがあるご家庭",,,63,38,22,,相談可,,,通年,,,,,有限会社総合農舎山形村,office@nousya.jp,TRUE,日本,直接入力,
いわて短角牛と折爪三元豚・佐助の濃厚ミートソース,,加工食品,レトルト・保存食,,833,published,味の決め手は短角牛のすじ肉と佐助豚の超粗挽き肉。　　　　　　　　　　　　　　　　　　　　　　　　　　　トロトロの牛すじと、ゴロゴロの粗挽き肉が濃厚で芳醇な味わいを作り出しています。,20,,・無添加(保存料・着色料 不使用)　　　　　　・希少な山形村短角牛肉を使用,イワテタンカクギュウトオリヅメサンゲントンサスケノノウコウミートソース,岩手県,久慈市,"小麦, 乳","牛肉, 豚肉",,賞味期限,730,常温,4.52619E+12,80,ｐ,50,ｐ,対応可能,240ｇ,国産原料,,5営業日,,1098ca75-d586-4ac0-b7bb-2569e4a3f27b,加工食品,レトルト・保存食,,,"・オーガニックにこだわった、ギフト商品やお土産購入者
・健康志向へのこだわりがあるご家庭",,,63,38,22,,相談可,,,通年,,,,,有限会社総合農舎山形村,office@nousya.jp,TRUE,日本,直接入力,
