商品名※必須,slug※必須,カテゴリ,サブカテゴリ,サイズ,価格※必須,ステータス,説明,並び順,画像URL,キャッチコピー,フリガナ,都道府県,市区町村,アレルギー（表示義務）,アレルギー（表示推奨）,アレルギー備考,期限種別,期限日数（日）,保管温度帯,JANコード,ケース入数,ケース入数単位,最小ロット,最小ロット単位,サンプル対応,内容量,商品タグ,対応可能数量（最大）,リードタイム,関連URL,サプライヤーID,大カテゴリ,中カテゴリ,小カテゴリ,商品コンセプト,利用シーン・おすすめ,食品表示画像,最大ロット単位,発注ケースサイズ縦 (cm),発注ケースサイズ横 (cm),発注ケースサイズ高さ (cm),発注ケース重量 (kg),国外輸出可否,販売形態,WEBサイト販売,提供可能時期,バイヤーへのメッセージ,販促ツール,関連商品ID,商品動画URL,販売事業者名,サプライヤーメール,インボイス対応,国名,価格種別,販売単位
激辛い函館カレー,激辛い函館カレー-1,,,,0,published,,33,,,,,,,,,賞味期限,730,,,,,,,,,,,,,d36c4392-db61-4052-be84-69a1e25f1fc0,,,,,,,,,,,,,,,,,,,,株式会社五島軒,m-kondo@gotoken.hakodate.jp,,,オープン,
椎茸と玉ねぎのドレッシング,椎茸と玉ねぎのドレッシング-1,,,,0,published,国産の菜種油に大分県産しいたけの旨みと歯ごたえ、ざく切り玉ねぎのシャキッとした食感、甜 菜糖のまろやかな甘みが絶妙なハーモニーを奏でます。化学調味料不使用で子供から大人ま で美味しく召し上がっていただけるドレッシングです。,3,,,,,,,,,賞味期限,365,常温,,,,,,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
函館港町カレー,函館港町カレー-1,,,,0,published,,24,,,,,,,,,賞味期限,730,,,,,,,,,,,,,d36c4392-db61-4052-be84-69a1e25f1fc0,,,,,,,,,,,,,,,,,,,,株式会社五島軒,m-kondo@gotoken.hakodate.jp,,,オープン,
五島軒ハヤシビーフ,五島軒ハヤシビーフ-1,,,,0,published,,27,,,,,,,,,賞味期限,730,,,,,,,,,,,,,d36c4392-db61-4052-be84-69a1e25f1fc0,,,,,,,,,,,,,,,,,,,,株式会社五島軒,m-kondo@gotoken.hakodate.jp,,,オープン,
函館カレー辛口,函館カレー辛口-1,,,,0,published,,20,,,,,,,,,賞味期限,730,,,,,,,,,,,,,d36c4392-db61-4052-be84-69a1e25f1fc0,,,,,,,,,,,,,,,,,,,,株式会社五島軒,m-kondo@gotoken.hakodate.jp,,,オープン,
イギリス風カレー,イギリス風カレー-1,,,,0,published,,21,,,,,,,,,賞味期限,730,,,,,,,,,,,,,d36c4392-db61-4052-be84-69a1e25f1fc0,,,,,,,,,,,,,,,,,,,,株式会社五島軒,m-kondo@gotoken.hakodate.jp,,,オープン,
大分県産不揃い40g,大分県産不揃い40g-1,,,,0,published,,14,,,,,,,,,賞味期限,365,常温,,30,個,1,ケース,,,,,3営業日,,48946663-090e-4bd9-8cef-949b2ffd6e76,,,,,,,,,,,,,,,,,,,,茂里商店,mori@mori-shouten.co.jp,,,オープン,
大分県産椎茸袋詰120g,大分県産袋詰120g-1,,,,0,published,,40,https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/500f568e-b4a3-4a64-9afd-03b40bc98423/1778426188691-6ma8rn.jpeg;https://mvedkgtujsuctaemfnij.supabase.co/storage/v1/object/public/products/500f568e-b4a3-4a64-9afd-03b40bc98423/1778426198676-j7qdk7.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ほろ酔いカレー　ビーフ,ほろ酔いカレー-ビーフ-1,加工食品,レトルト・保存食,,832,published,"割烹旅館立よしの甲州ワイン「ほろ酔いカレー」です。弊社独自の製法で、ワインのアルコール分を残し芳醇な香りを楽しめる「ワインカレー」を作りました。ワインの持つ芳醇な香りやコクを存分に感じることができる「本物のワインカレー」
それが「ほろ酔いカレー」なのです。",33,,甲州ワインの風味が味わえるカレー,ホロヨイカレービーフ,山梨県,富士川町,"小麦, 乳","牛肉, 大豆",,賞味期限,360,常温,,24,個,2,ケース,対応可能,180g,"こだわり製法, 職人仕上げ",,５営業日,,4d2fa24f-0982-4e62-922b-faaae1034106,加工食品,レトルト・保存食,カレー,,,,,,,,,相談可,小売・業務用,自社サイトで販売中,通年,世界的に有名な甲州ワインの風味を存分に味わえるカレーです。,,,,割烹立よし株式会社,tsuji@tatuyoshi.jp,TRUE,,,
よこすか海軍カレー,よこすか海軍カレー-1,加工食品,レトルト・保存食,,485,published,明治41年の海軍割烹術参考書の「カレイライス」レシピをもとに食べやすく復元。牛肉、野菜の入った懐かしい味が特徴です。,16,https://drive.google.com/file/d/1Xf1wRzr791phCpRM3MtHaV_wkWjLcMt4/view?usp=drive_link,これぞヨコスカの味！ビーフとゴロっと野菜がたっぷり入った『よこすか海軍カレー』,ヨコスカカイグンカレー,大阪府,泉南市,"小麦, 乳","牛肉, 大豆, 豚肉, りんご",本品の製造工場では、えび、かに、卵、落下生、くるみを含む製品を製造しています。j,賞味期限,730,常温,,40,個,3,ケース,要相談,200ｇ,,,3営業日,,0897e295-ca16-4a8c-9567-92f86a88eea5,加工食品,レトルト・保存食,,,,,,,,,,,小売用,,,,,,,株式会社ヤチヨ,yorder@yachiyo-gr.com,TRUE,,,
ほぐし飯の素　さばめし,ほぐし飯の素-さばめし-1,加工食品,レトルト・保存食,,1111,published,身のふっくらしたさばを使った贅沢なほぐし飯です。骨などもお気になさらずほぐして混ぜて、そのままお召し上がりいただけます。さばの栄養価は抜群と言われていて、DHAは脳や神経の機能活性化に良いとされ、EPAは血液をサラサラにする働きが期待されている成分です。この機会にぜひ、さばめしで割烹立よしの味をお楽しみください。,25,,焼津冷蔵こだわりのさばを使用した炊き込みご飯,ホグシメシノモトサバメシ,山梨県,富士川町,小麦,"ごま, 大豆",,賞味期限,150,常温,,18,個,2,ケース,対応可能,具 + だし汁350ml /袋,"こだわり製法, 職人仕上げ",,５営業日,,4d2fa24f-0982-4e62-922b-faaae1034106,加工食品,レトルト・保存食,炊き込みご飯の素,,お子様のいるご家庭、キャンプ飯,,,,,,,不可,小売・業務用,自社サイトで販売中,通年,ご家庭の炊飯器で簡単に料亭の味が味わえます。素材の姿が丸々炊き上がる見た目も楽しい炊き込みご飯の素です。,,,,割烹立よし株式会社,tsuji@tatuyoshi.jp,TRUE,,,
横須賀海自カレー 試験艦あすかカレー,横須賀海自カレー-試験艦あすかカレー-1,加工食品,レトルト・保存食,,600,published,"自衛隊の協力のもと、各艦の給養員長から提供していただいたレシピを地元のカレー店が忠実に再現した「横須賀海上自衛隊カレー」。
『試験艦あすか』カレーはウッドアイランドカレーレストラン様のレシピを参考に開発したコク深く、パンチの効いたポークカレーです。
海上自衛隊で実際に食べられているカレーと同じ味を、ぜひお楽しみください。",11,https://drive.google.com/file/d/1L2Hr6DoOSBHWMumFqrobPZFx_GcXVwoI/view?usp=drive_link,自衛隊の協力のもと、各艦の給養員長から提供していただいたレシピを地元のカレー店が忠実に再現した「横須賀海上自衛隊カレー」。,ヨコスカカイジカレーシケンカンアスカカレー,神奈川県,横須賀市,"小麦, 乳","牛肉, 大豆, 鶏肉, 豚肉, もも, りんご",,賞味期限,730,常温,,40,個,2,ケース,対応可能,,,,3営業日,,c0204dcb-ed2c-4fdb-bad5-2b7ad917d128,加工食品,レトルト・保存食,,,,https://drive.google.com/file/d/1TaHKGRCbhP4nZiw4Pj1Hb6n1beL-tsfZ/view?usp=drive_link,,,,,,相談可,,自社サイトで販売中,,自衛隊の協力のもと、各艦の給養員長から提供していただいたレシピを地元のカレー店が忠実に再現した「横須賀海上自衛隊カレー」。,,,,株式会社調味商事,mina-kawasaki@choumi.jp,TRUE,,,
米沢牛 ビーフカレー,米沢牛-ビーフカレー-1,加工食品,レトルト・保存食,,1300,published,"最高の素材を手間暇を惜しまず作り上げた味自慢のカレー！
寒暖の差が激しい置賜盆地特有の気候と、最上川流域の肥沃な土地が育んだ米沢牛は日本三大和牛とも称され、霜降りと称される脂のり、肉質のきめ細やかさ、風味のまろやかさが特徴です。
本品は、カレーに最適な米沢牛の赤身の部位を選び、自社ブレンドのスパイスと２日間かけて作ったフォン・ド・ヴォーで柔らかく煮込みました。
",35,https://drive.google.com/file/d/1Pa-sVTnrFoBukQrT6wWREn4Xm4VOMBcN/view?usp=drive_link;https://drive.google.com/file/d/1kLm2qyjIkySEHeKuga0wgnDbMah02n4s/view?usp=drive_link;https://drive.google.com/file/d/1V7s5AWk_E3NDLq24qfv6PcMhi2nmv6hH/view?usp=drive_link;https://drive.google.com/file/d/1lxvHnuzHh1j1Yk9cLY12K4-qIA3Vru83/view?usp=drive_link;https://drive.google.com/file/d/1wZBr5O-YIiBwPSbkx8_ffG8e-rQGycnn/view?usp=drive_link,最高の素材を手間暇を惜しまず作り上げた味自慢のカレー！,ヨネザワギュウビーフカレー,山形県,米沢市,"小麦, 乳","牛肉, 大豆, 鶏肉, バナナ, 豚肉, りんご, ゼラチン",,賞味期限,365,常温,,50,個,1,ケース,対応可能,200g,"こだわり製法, 手作り, ギフト対応, まとめ買い対応, ふるさと納税返礼品",,5営業日,,9c49f8cd-3ae7-4472-80a3-c18884ba3dfa,加工食品,レトルト・保存食,カレー,"山形県を代表するブランド和牛「米沢牛」の旨みを、手軽に味わえるレトルトカレーとして表現した商品です。
素材の良さを活かすため、牛肉は存在感のあるカットで仕上げ、じっくり煮込むことで深いコクとやわらかさを引き出しています。

“ご当地の本格的な味を、いつでもどこでも楽しめる”ことをコンセプトに、旅行土産や贈答品としても満足いただける品質を目指しました。
日常の食事はもちろん、特別感のある食卓やギフトシーンにも対応できる一品です。","ご自宅での手軽な食事はもちろん、少し贅沢を楽しみたい日の夕食や、来客時のおもてなしメニューとしてもおすすめです。
また、常温保存が可能なため、アウトドアやキャンプ、非常食としての備蓄用途にも適しています。

温めるだけで本格的な味わいが楽しめるため、忙しい日のランチや単身世帯のストック食品としても便利です。
ご飯にかけるだけでなく、パンやナンと合わせても相性が良く、アレンジ次第で幅広い食べ方が可能です。",https://drive.google.com/file/d/10e0pqyPciLmhE19HEqVfTUEJBU0LKsjd/view?usp=drive_link,,29,38,29,12.5,相談可,小売・業務用,自社サイトで販売中,通年,"山形県米沢のブランド牛「米沢牛」を使用した、贅沢感のあるレトルトビーフカレーです。
レトルトながら肉の旨みとコクがしっかり感じられ、一般的な業務用カレーとの差別化ができる商品です。

高級感がありながら常温保存可能なため、ホテル・旅館の売店、道の駅、観光施設の土産売場などで特に相性が良い商品です。
また「ご当地グルメ」「山形・東北フェア」などの企画商品としても展開しやすく、セット販売やギフト需要にも対応できます。

“少し特別なレトルトカレー”として、客単価アップや売場の付加価値向上に貢献できる一品です。",,,,株式会社タスクフーズ,s.monma@koi-miyasaka.com,TRUE,,,
ほろ酔いカレー　チキン,ほろ酔いカレー-チキン-1,加工食品,レトルト・保存食,,832,published,"割烹旅館立よしの甲州ワイン「ほろ酔いカレー」です。弊社独自の製法で、ワインのアルコール分を残し芳醇な香りを楽しめる「ワインカレー」を作りました。ワインの持つ芳醇な香りやコクを存分に感じることができる「本物のワインカレー」
それが「ほろ酔いカレー」なのです。",34,,甲州ワインの風味を存分に味わえるカレー,ホロヨイカレーチキン,山梨県,富士川町,"小麦, 乳","大豆, 鶏肉",,賞味期限,360,常温,,24,個,2,ケース,対応可能,180g,"こだわり製法, 職人仕上げ",,５営業日,,4d2fa24f-0982-4e62-922b-faaae1034106,加工食品,レトルト・保存食,カレー,,,,,,,,,相談可,小売・業務用,自社サイトで販売中,通年,世界的に有名な甲州ワインの風味を存分に味わえるカレーです,,,,割烹立よし株式会社,tsuji@tatuyoshi.jp,TRUE,,,
山形県産黒毛和牛極旨牛すき丼の素,山形県産黒毛和牛極旨牛すき丼の素-1,加工食品,惣菜・煮物,,650,published,"山形県産黒毛和牛を創業170余年煮炊きの老舗「みやさかや」の熟練の職人が丁寧に炊き上げた逸品です。
　山形県産黒毛和牛の切り落としを弊社のこだわりのタレで炊き上げました。タレには山形県高畠町のブランドワイン「高畠ワイン」を使用し、味に深みを出すなど副素材においても地場山形の素材を使う事にこだわりました。
化学調味料や着色料を使用せずに仕上げているため安心してお召上がり頂けます。また、湯煎してすぐにお召し上がり頂ける手間いらずの簡単調理の一品です。
●レンジ対応で簡単便利
●湯煎も可能",40,https://drive.google.com/file/d/13CELFJrJo8A59HsdOhFC3I0m-NAWv8B4/view?usp=drive_link;https://drive.google.com/file/d/1J8Ifx6iFu9NVl5nOdpwGGZ4TFBES4xe3/view?usp=drive_link;https://drive.google.com/file/d/1bd_XD9Zftr7gu-sIulWxkPfDIPwEnpR5/view?usp=drive_link;https://drive.google.com/file/d/1HFooue9HmQHiEbdApu1UvvYkYeDEjEI0/view?usp=drive_link;https://drive.google.com/file/d/1ihroPf-Y4jUFg0PuodJm44ZHHEZbbWn6/view?usp=drive_link,創業170余年煮炊きの老舗 熟練の職人が丁寧に炊き上げた逸品,ヤマガタケンサンクロゲワギュウゴクウマギュウスキドンノモト,山形県,米沢市,"小麦, 乳","牛肉, 大豆, りんご",本製品の製造ラインでは、えび、かに、小麦、そば、卵、乳、いか、牛肉、ごま、さけ、さば、大豆、鶏肉、バナナ、豚肉、りんご、ゼラチンを含む製品を生産しています。,賞味期限,60,冷蔵,,50,個,50,個,対応可能,130ｇ,"無添加, 国産原料, こだわり製法, 手作り, 職人仕上げ, ギフト対応, まとめ買い対応, ふるさと納税返礼品",,５営業日以内,,9c49f8cd-3ae7-4472-80a3-c18884ba3dfa,加工食品,惣菜・煮物,牛丼の具,"本商品は、「手軽に食べられる中でも、素材の良さと満足感をしっかり感じられる牛丼」をコンセプトに開発しました。日常使いはもちろん、少し贅沢をしたい食事シーンにも対応できるよう、味のバランスと食べやすさに重点を置いています。

使用する牛肉は、赤身と脂身のバランスが良い部位を選定し、肉本来の旨みを活かしながら、重たくなりすぎない味わいに仕上げています。また、下茹で処理を行うことで余分な脂やアクを丁寧に取り除き、最後まで飽きのこないすっきりとした後味を実現しています。

たれには本醸造醤油を使用し、醤油本来のコクとまろやかな旨みを活かした味設計としています。さらに、高畠ワイナリーの赤ワインを隠し味として加えることで、奥行きのある香りと自然な甘みを引き出し、家庭調理では出しにくい深みのある味わいに仕上げています。

地域の素材や製造技術の強みを活かしながら、「普段使いできる本格的な味わい」を目指した商品として開発しており、冷蔵商品として手軽さと品質の両立を追求しています。","本商品は、日常の食事から少し特別な食卓まで幅広いシーンでご利用いただけます。

ご家庭では、忙しい日の時短メニューとしてはもちろん、「今日は少し贅沢をしたい」といった日のメイン料理としても最適です。冷蔵商品ならではの手軽さにより、レンジ調理で短時間で本格的な味わいを楽しめます。

また、単身世帯や共働き世帯のストック惣菜としても利便性が高く、必要な時にすぐ使える一品として重宝されます。

ギフト用途としては、産直ギフトや季節の贈答品、ECサイトでのまとめ買い商品としても相性が良く、「手軽さと少しの贅沢」を兼ね備えた商品として幅広いニーズに対応可能です。",https://drive.google.com/file/d/1UiXjXfBnNxDytjXz2IVHawoEjE4-Uvq2/view?usp=drive_link,,28,38,29,7.5,相談可,小売用,自社サイトで販売中,通年,"本商品は、山形県産黒毛和牛を使用した、素材の品質と味わいにこだわった冷蔵牛丼です。赤身と脂身のバランスを考えた部位を使用することで、濃厚な旨みと食べやすさを両立し、幅広い年代のお客様にご満足いただける仕上がりとなっております。

たれには本醸造醤油を使用し、醤油本来のまろやかな旨みとコクを活かした味付けに仕上げています。さらに、高畠ワイナリーの赤ワインを隠し味に加えることで、香りと奥行きのある味わいを実現しています。

牛肉は下茹で処理により余分な脂やアクを丁寧に取り除き、最後まで飽きのこないすっきりとした味わいに仕上げています。

冷蔵商品の特性上、賞味期限は短めとなりますが、その分、ギフトや産直、EC販売において「届いてすぐ食べる特別感」を訴求できる商品となっております。
",,,,株式会社タスクフーズ,s.monma@koi-miyasaka.com,TRUE,,,
牡蠣の佃煮,牡蠣の佃煮-1,加工食品,レトルト・保存食,,900,published,広島県産のかきを醤油ベースのタレで炊き、甘辛い佃煮に仕上げました。いつでもお手軽に広島かきの風味豊かで濃厚な味わ いをお楽しみいただけます。ご飯のお供や酒の肴にご利用ください。,57,https://drive.google.com/file/d/1LHONedPD_CVUI6tE9P7YmNqYcT_EKtfI/view?usp=drive_link,広島県産のかきを醤油ベースのタレで炊き、甘辛い佃煮に仕上げました。,カキノツクダニ,山口県,岩国市,小麦,"ごま, 大豆",,賞味期限,180,常温,,20,個,20,個,対応可能,75g/p,国産原料,,２営業日,,031d73dc-fc99-46cf-a199-ea598bb3d361,加工食品,レトルト・保存食,,,,https://drive.google.com/file/d/1sVV067oTkgQ0AgbvwUneXD6vsdeU-czG/view?usp=drive_link,,,,,,相談可,,,,,,,,広島県漁業協同組合連合会,chokuhan@hs-gyoren.jp,TRUE,,,
ころころチキンキーマカレー,ころころチキンキーマカレー-1,加工食品,レトルト・保存食,,809,published,"粗挽きした岡山県産親鳥肉をたっぷり使って旨味を引出したスパイシーなキーマカレーです。（中辛）】
・厳選した食材は着色料・香料を使用していません。       
・自家調合したスパイスとハーブで仕立てた工場長自信のスパイスカレーです。    
・ホットサンド、クスクスやナン等など色々なアレンジが楽しめます。",4,,岡山県産親鳥と独自のスパイス調合のキーマカレーです。,コロコロチキンキーマカレー,岡山県,新見市,"小麦, 乳","大豆, バナナ, 豚肉",本品製造ラインでは乳成分、小麦、落花生、えび、かに、牛肉、鶏肉、豚肉、ゼラチン、大豆、やまいも、バナナ、もも、ごま、りんご、いか、さけ、さばを含む製品を製造しています。,賞味期限,730,常温,,30,個,2,ケース,要相談,180ｇ,"国産原料, こだわり製法",,3営業日,,46f40ee0-5e7c-43ee-be33-09c0f150b91c,加工食品,レトルト・保存食,レトルトカレー,,,,,,,,,相談可,,他社サイトで販売中,,,,,,（株）哲多すずらん食品加工,info@t-suzuran.com,TRUE,,,
